gestion,semestre,carrera,carrera_codigo,modalidad_ingreso,orden_postulacion,turno_estudio,formacion_previa,genero,edad_ingreso,estado_civil,estudiante_internacional,beneficiario_beca,pagos_al_dia,deudor,desplazado,nee,situacion_laboral_estudiante,apoyo_financiero_tipo,materias_inscritas_1sem,evaluaciones_1sem,materias_aprobadas_1sem,promedio_1sem,materias_inscritas_2sem,evaluaciones_2sem,materias_aprobadas_2sem,promedio_2sem,reprobaciones_total,asistencia_pct,tutorias_recibidas,orientacion_academica,tasa_desempleo,tasa_inflacion,pib,estado_academico,target_desercion,avance_curricular_pct,n_retiros,materias_criticas_reprobadas,nota_prom_materias_criticas,alertas_academicas,uso_tutorias
2024,3,Ing. Comercial,1,8,5,1,1,1,20,1,0,0,1,0,1,0,0,ninguno,0,0,0,0.0,0,0,0,0.0,0,100.0,1,1,10.8,1.4,1.74,Abandono,1,37.5,0,0.0,0.0,0,1
2024,1,Ing. Comercio Internacional,2,6,1,1,1,1,19,1,0,0,0,0,1,0,0,ninguno,6,6,6,14.0,6,6,6,13.666666666666666,0,88.1,0,0,13.9,-0.3,0.79,Activo,0,12.5,1,0.0,12.902353374472868,0,0
2023,4,Lic. en Administración de Empresas,3,1,5,1,1,1,19,1,0,0,0,0,1,0,0,ninguno,6,0,0,0.0,6,0,0,0.0,6,57.2,0,0,10.8,1.4,1.74,Abandono,1,50.0,0,3.0,0.0,1,0
2023,1,Ing. Financiera y de Riesgos,4,8,2,1,1,0,20,1,0,0,1,0,1,0,0,ninguno,6,8,6,13.428571428571429,6,10,5,12.4,0,62.6,0,0,9.4,-0.8,-3.12,Activo,0,12.5,0,0.0,12.226814094535687,1,0
2023,6,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,12,1,0,1,0,45,2,0,0,1,0,0,0,0,ninguno,6,9,5,12.333333333333334,6,6,6,13.0,1,88.1,0,0,13.9,-0.3,0.79,Activo,0,75.0,0,0.0,11.935389106375663,0,0
2024,6,Ing. Comercial,1,12,1,0,12,1,50,2,0,0,1,1,0,0,1,ninguno,5,10,5,11.857142857142858,5,17,5,11.5,0,80.8,0,0,16.2,0.3,-0.92,Activo,0,75.0,0,0.0,11.046543529186225,0,0
2024,7,Ing. Comercio Internacional,2,1,1,1,1,0,18,1,0,1,1,0,1,0,0,beca,7,9,7,13.3,8,8,8,14.345,0,100.0,0,0,15.5,2.8,-4.06,Activo,0,87.5,1,0.0,13.248333419984835,0,0
2024,1,Lic. en Administración de Empresas,3,9,4,1,1,1,22,1,0,0,0,0,1,0,0,ninguno,5,5,0,0.0,5,5,0,0.0,5,87.8,1,1,15.5,2.8,-4.06,Abandono,1,12.5,0,3.0,0.0,1,1
2025,1,Ing. Financiera y de Riesgos,4,1,3,1,1,0,21,1,1,1,1,0,0,0,0,credito,6,8,6,13.875,6,7,6,14.142857142857142,0,85.7,0,0,16.2,0.3,-0.92,Activo,0,12.5,0,0.0,13.62099967896436,0,0
2025,3,Lic. en Ciencia de Datos e Inteligencia de Negocios,5,1,1,1,1,0,18,1,0,0,0,1,1,0,0,ninguno,6,9,5,11.4,6,14,2,13.5,1,74.0,3,1,8.9,1.4,3.51,Abandono,1,37.5,2,1.0,11.85708724719864,0,1
2024,8,Ing. Comercial,1,1,1,1,1,0,18,1,0,0,1,0,1,0,0,ninguno,6,6,6,12.333333333333334,6,7,5,14.2,0,74.9,1,1,13.9,-0.3,0.79,Activo,0,100.0,0,0.0,12.725473331075152,0,1
2024,3,Ing. Comercio Internacional,2,1,1,1,1,0,18,1,0,1,1,0,1,0,0,mixto,8,8,7,13.214285714285714,8,8,7,13.214285714285714,1,76.3,2,1,12.7,3.7,-1.7,Activo,0,37.5,0,0.0,12.56558021010991,0,1
2024,3,Lic. en Administración de Empresas,3,1,2,1,1,0,19,1,0,0,1,0,1,0,0,ninguno,6,6,0,0.0,6,0,0,0.0,6,73.9,0,0,12.7,3.7,-1.7,Abandono,1,37.5,0,3.0,0.0,1,0
